simulation,data_model,parameter,true_value,fitting_model,estimate_mean,estimate_lower,estimate_upper,Rhat,error,alpha,sigma,b_for
48,Beverton-Holt,alpha,4.85,Beverton-Holt,2.57,0.82,8.35,1.002,-47.01030927835051,4.85,1.4,-0.39
48,Beverton-Holt,b_for,-0.39,Beverton-Holt,-0.21,-0.62,0.21,1,-46.15384615384616,4.85,1.4,-0.39
48,Beverton-Holt,sigma,1.4,Beverton-Holt,1.45,1.17,1.82,1.001,3.5714285714285747,4.85,1.4,-0.39
49,Beverton-Holt,alpha,4.8,Ricker,0.41,0.21,0.62,1.001,-91.45833333333333,4.8,0.2,-0.93
49,Beverton-Holt,b_for,-0.93,Ricker,-0.79,-1.02,-0.56,1.003,-15.053763440860216,4.8,0.2,-0.93
49,Beverton-Holt,sigma,0.2,Ricker,0.55,0.45,0.69,1,175,4.8,0.2,-0.93
49,Beverton-Holt,alpha,4.8,Beverton-Holt,6.68,3.69,9.82,1.006,39.16666666666667,4.8,0.2,-0.93
49,Beverton-Holt,b_for,-0.93,Beverton-Holt,-0.95,-0.98,-0.91,1.001,2.150537634408592,4.8,0.2,-0.93
49,Beverton-Holt,sigma,0.2,Beverton-Holt,0.12,0.1,0.15,1.001,-40.00000000000001,4.8,0.2,-0.93
52,Beverton-Holt,alpha,6.87,Ricker,0.7,0.34,1.08,1.002,-89.81077147016012,6.87,0.9,-1.01
52,Beverton-Holt,b_for,-1.01,Ricker,-1,-1.37,-0.62,1.001,-0.990099009900991,6.87,0.9,-1.01
52,Beverton-Holt,sigma,0.9,Ricker,0.99,0.8,1.24,1.002,9.999999999999996,6.87,0.9,-1.01
52,Beverton-Holt,alpha,6.87,Beverton-Holt,5.06,1.56,9.72,1.003,-26.346433770014563,6.87,0.9,-1.01
52,Beverton-Holt,b_for,-1.01,Beverton-Holt,-0.81,-1.05,-0.57,1.001,-19.8019801980198,6.87,0.9,-1.01
52,Beverton-Holt,sigma,0.9,Beverton-Holt,0.81,0.65,1.01,1.003,-9.999999999999996,6.87,0.9,-1.01
54,Beverton-Holt,alpha,6.42,Ricker,0.81,0.24,1.39,1.001,-87.38317757009347,6.42,1.2,0.41
54,Beverton-Holt,b_for,0.41,Ricker,0.24,-0.23,0.72,1.001,-41.463414634146346,6.42,1.2,0.41
54,Beverton-Holt,sigma,1.2,Ricker,1.51,1.21,1.9,1.003,25.83333333333334,6.42,1.2,0.41
54,Beverton-Holt,alpha,6.42,Beverton-Holt,5.56,1.96,9.68,1,-13.395638629283493,6.42,1.2,0.41
54,Beverton-Holt,b_for,0.41,Beverton-Holt,0.49,0.1,0.86,1.001,19.512195121951226,6.42,1.2,0.41
54,Beverton-Holt,sigma,1.2,Beverton-Holt,1.25,1.02,1.57,1,4.1666666666666705,6.42,1.2,0.41
56,Beverton-Holt,alpha,6.71,Ricker,0.57,0.31,0.83,1.004,-91.50521609538004,6.71,0.2,0.82
56,Beverton-Holt,b_for,0.82,Ricker,0.19,0.04,0.33,1.003,-76.82926829268291,6.71,0.2,0.82
56,Beverton-Holt,sigma,0.2,Ricker,0.29,0.23,0.36,1.002,44.99999999999998,6.71,0.2,0.82
56,Beverton-Holt,alpha,6.71,Beverton-Holt,7.19,3.76,9.86,1.016,7.153502235469455,6.71,0.2,0.82
56,Beverton-Holt,b_for,0.82,Beverton-Holt,0.78,0.71,0.85,1.029,-4.878048780487796,6.71,0.2,0.82
56,Beverton-Holt,sigma,0.2,Beverton-Holt,0.19,0.15,0.24,1.006,-5.000000000000004,6.71,0.2,0.82
57,Beverton-Holt,alpha,7.64,Ricker,1.08,0.38,1.85,1.001,-85.86387434554975,7.64,1.2,0.93
57,Beverton-Holt,b_for,0.93,Ricker,0.39,-0.23,1.02,1.004,-58.064516129032256,7.64,1.2,0.93
57,Beverton-Holt,sigma,1.2,Ricker,1.92,1.55,2.41,1.001,60,7.64,1.2,0.93
57,Beverton-Holt,alpha,7.64,Beverton-Holt,6.95,3.35,9.83,1.001,-9.031413612565437,7.64,1.2,0.93
57,Beverton-Holt,b_for,0.93,Beverton-Holt,0.75,0.32,1.17,1,-19.354838709677423,7.64,1.2,0.93
57,Beverton-Holt,sigma,1.2,Beverton-Holt,1.42,1.15,1.77,1,18.333333333333332,7.64,1.2,0.93
58,Beverton-Holt,alpha,5.43,Ricker,0.97,0.54,1.44,1,-82.13627992633518,5.43,0.9,0.38
58,Beverton-Holt,b_for,0.38,Ricker,0.33,0,0.66,1.003,-13.157894736842103,5.43,0.9,0.38
58,Beverton-Holt,sigma,0.9,Ricker,1.06,0.86,1.33,1.001,17.777777777777782,5.43,0.9,0.38
58,Beverton-Holt,alpha,5.43,Beverton-Holt,5.95,2.1,9.76,1.002,9.576427255985275,5.43,0.9,0.38
58,Beverton-Holt,b_for,0.38,Beverton-Holt,0.7,0.37,0.99,1.002,84.21052631578947,5.43,0.9,0.38
58,Beverton-Holt,sigma,0.9,Beverton-Holt,0.94,0.76,1.18,1,4.444444444444436,5.43,0.9,0.38
59,Beverton-Holt,alpha,4.72,Ricker,0.5,0.28,0.73,1.002,-89.40677966101696,4.72,0.2,-0.86
