simulation,data_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,alpha,sigma,b_for,alpha_estimate,sigma_estimate,b_for_estimate
91,Ricker,sigma,1.2515168965471473,Ricker,1.33,1.08,1.68,1,6.271038263197447,0.8186845106848943,1.2515168965471473,0.7402256053619753,1.35,1.33,0.58
92,Ricker,alpha,0.25212247103940544,Beverton-Holt,0.91,0.24,1.99,1.001,260.93569773785526,0.25212247103940544,0.8748952847813749,1.023650657821913,0.91,0.94,0.92
92,Ricker,b_for,1.023650657821913,Beverton-Holt,0.92,0.6,1.23,1.001,-10.125588942858396,0.25212247103940544,0.8748952847813749,1.023650657821913,0.91,0.94,0.92
92,Ricker,sigma,0.8748952847813749,Beverton-Holt,0.94,0.77,1.2,1.001,7.441429431739808,0.25212247103940544,0.8748952847813749,1.023650657821913,0.91,0.94,0.92
92,Ricker,alpha,0.25212247103940544,Ricker,0.49,0.11,0.88,1.003,94.34999108961435,0.25212247103940544,0.8748952847813749,1.023650657821913,0.49,0.9,0.95
92,Ricker,b_for,1.023650657821913,Ricker,0.95,0.69,1.22,1.001,-7.1949016257777005,0.25212247103940544,0.8748952847813749,1.023650657821913,0.49,0.9,0.95
92,Ricker,sigma,0.8748952847813749,Ricker,0.9,0.74,1.13,0.999,2.8694537112402503,0.25212247103940544,0.8748952847813749,1.023650657821913,0.49,0.9,0.95
93,Ricker,alpha,2.4861073777726426,Beverton-Holt,0.65,0.11,1.47,1.005,-73.85470934154304,2.4861073777726426,1.604205491493438,-1.9721285241733237,0.65,2.87,-1.34
93,Ricker,b_for,-1.9721285241733237,Beverton-Holt,-1.34,-2.11,-0.56,1.007,-32.053109948211876,2.4861073777726426,1.604205491493438,-1.9721285241733237,0.65,2.87,-1.34
93,Ricker,sigma,1.604205491493438,Beverton-Holt,2.87,2.36,3.58,1.017,78.90476096850712,2.4861073777726426,1.604205491493438,-1.9721285241733237,0.65,2.87,-1.34
93,Ricker,alpha,2.4861073777726426,Ricker,2.83,1.96,3.72,1.001,13.832573174512614,2.4861073777726426,1.604205491493438,-1.9721285241733237,2.83,1.96,-2.08
93,Ricker,b_for,-1.9721285241733237,Ricker,-2.08,-2.66,-1.45,1,5.46979948337261,2.4861073777726426,1.604205491493438,-1.9721285241733237,2.83,1.96,-2.08
93,Ricker,sigma,1.604205491493438,Ricker,1.96,1.59,2.48,1.001,22.178861149224367,2.4861073777726426,1.604205491493438,-1.9721285241733237,2.83,1.96,-2.08
